施設名,施設名(英語),カテゴリ,電話番号,郵便番号,都道府県名,市区町村名,行政区名,住所,緯度,経度,料金,月極料金,説明(日本語),説明(英語),駐車可能台数,開所時間帯,開所時刻,閉所時刻,高さ制限値,幅制限値,長さ制限値,重量制限値,3ナンバー車両の駐車可能台数,RV車両の駐車可能台数,1BOX車両の駐車可能台数,駐車可能な車のタイプ,バリアフリー設備,管理会社,管理会社電話番号,画像URL,サムネイル画像URL,ホームページアドレス,満空情報,標準地域コード
鯖江駅前駐車場,"",市営駐車場,"","","","","",鯖江市日の出町2番2号,35.943146,136.188219,最初の1時間以内は無料。それ以降1時間までごとに100円加算。,"","","",31,"","","","","","","","","","","","",アマノマネジメントサービス㈱,0120-03-6548,http://www3.city.sabae.fukui.jp/xml/parking/01.jpg,"","","",http://statdb.nstac.go.jp/lod/sac/C18207
鯖江駅東第1駐車場,"",市営駐車場,"","","","","",鯖江市柳町1丁目1番1号,35.943033,136.1894228,最初の24時間以内は300円。それ以降24時間までごとに700円加算。,"","","",97,"","","","","","","","","","","","",アマノマネジメントサービス㈱,0120-03-6548,http://www3.city.sabae.fukui.jp/xml/parking/02.jpg,"","","",http://statdb.nstac.go.jp/lod/sac/C18207
鯖江駅東第2駐車場,"",市営駐車場,"","","","","",鯖江市柳町1丁目10番16号,35.943177,136.189544,最初の24時間以内は300円。それ以降24時間までごとに700円加算。,"","","",79,"","","","","","","","","","","","",アマノマネジメントサービス㈱,0120-03-6548,http://www3.city.sabae.fukui.jp/xml/parking/03.jpg,"","","",http://statdb.nstac.go.jp/lod/sac/C18207
鯖江駅東第3駐車場,"",市営駐車場,"","","","","",鯖江市柳町1丁目2番23号,35.943554,136.189464,最初の24時間以内は300円。それ以降24時間までごとに700円加算。,"","","",36,"","","","","","","","","","","","",アマノマネジメントサービス㈱,0120-03-6548,http://www3.city.sabae.fukui.jp/xml/parking/04.jpg,"","","",http://statdb.nstac.go.jp/lod/sac/C18207
鯖江市文化センター前駐車場,"",市営駐車場,"","","","","",鯖江市東鯖江3丁目1番18号,35.943294,136.197334,最初の4時間以内は無料。それ以降20時間以内は300円。それ以降24時間までごとに700円加算。,"","","",300,"","","","","","","","","","","","",アマノマネジメントサービス㈱,0120-03-6548,http://www3.city.sabae.fukui.jp/xml/parking/10.jpg,"","","",http://statdb.nstac.go.jp/lod/sac/C18207
嚮陽会館前駐車場,"",市営駐車場,"","","","","",鯖江市桜町2丁目7番48―1号,35.947771,136.180548,最初の2時間以内は無料。それ以降22時間以内は300円。それ以降24時間までごとに700円加算。,"","","",208,"","","",2.1,1.9,5,2.5,"","","","","",㈱きょうよう企画,0778-51-5464,http://www3.city.sabae.fukui.jp/xml/parking/09.jpg,"","",https://code4fukui.github.io/parking-view/,http://statdb.nstac.go.jp/lod/sac/C18207
ふれあい広場駐車場,"",市営駐車場,"","","","","",鯖江市桜町3丁目4番34―1号,35.947841,136.18197,最初の2時間以内は無料。それ以降22時間以内は300円。それ以降24時間までごとに700円加算。,"","","",120,"","","",2.1,1.9,5,2.5,"","","","","",㈱きょうよう企画,0778-51-5464,http://www3.city.sabae.fukui.jp/xml/parking/08.jpg,"","",https://code4fukui.github.io/parking-view/,http://statdb.nstac.go.jp/lod/sac/C18207
北鯖江駅第1駐車場,"",市営駐車場,"","","","","",鯖江市下河端町第61号5番地3,35.971262,136.198766,最初の24時間以内は300円。それ以降24時間までごとに700円加算。,"1箇月　3,500円","","",67,"","","","","","","","","","","","",アマノマネジメントサービス㈱,0120-03-6548,http://www3.city.sabae.fukui.jp/xml/parking/05.jpg,"","","",http://statdb.nstac.go.jp/lod/sac/C18207
北鯖江駅第2駐車場,"",市営駐車場,"","","","","",鯖江市神中町1丁目10番26号,35.971158,136.197994,最初の24時間以内は300円。それ以降24時間までごとに700円加算。,"1箇月　3,500円","","",57,"","","","","","","","","","","","",アマノマネジメントサービス㈱,0120-03-6548,http://www3.city.sabae.fukui.jp/xml/parking/06.jpg,"","","",http://statdb.nstac.go.jp/lod/sac/C18207
北鯖江駅第3駐車場,"",市営駐車場,"","","","","",鯖江市神中町1丁目5番30号,35.971227,136.197307,最初の24時間以内は300円。それ以降24時間までごとに700円加算。,"1箇月　3,500円","","",35,"","","","","","","","","","","","",アマノマネジメントサービス㈱,0120-03-6548,http://www3.city.sabae.fukui.jp/xml/parking/07.jpg,"","","",http://statdb.nstac.go.jp/lod/sac/C18207
