名前,居住地,出生地,備考,性別,生年月日,緯度,経度
ミンファ,鯖江市西山動物園,市川市動植物園,ティアラの母,メス,2006/6/23 0:00,35.5724,136.10523
キラリ,鯖江市西山動物園,姫路セントラルパーク,ライトトモッチーの母,メス,2011/6/27 0:00,35.5724,136.10523
たいよう,鯖江市西山動物園,池田動物園,池田動物園より婿入り,オス,2013/6/15 0:00,35.5724,136.10523
ライト,鯖江市西山動物園,鯖江市西山動物園,キラリの息子、かえでの父,オス,2013/7/18 0:00,35.5724,136.10523
まつば,鯖江市西山動物園,静岡市立日本平動物園,ニーコとレイファの母,メス,2014/7/17 0:00,35.5724,136.10523
モッチー,鯖江市西山動物園,鯖江市西山動物園,ニーコとレイファの父,オス,2015/6/24 0:00,35.5724,136.10523
ティアラ,鯖江市西山動物園,神戸市立王子動物園,ミンファの娘,メス,2015/7/6 0:00,35.5724,136.10523
かのこ,鯖江市西山動物園,多摩動物公園,かえでの母,メス,2016/6/24 0:00,35.5724,136.10523
かんた,鯖江市西山動物園,秋田市大森山動物園,秋田市大森山動物園より来園,オス,2018/7/12 0:00,35.5724,136.10523
ニーコ,鯖江市西山動物園,鯖江市西山動物園,モッチーとまつばの娘、レイファとふたご,メス,2019/7/12 0:00,35.5724,136.10523
令花（レイファ）,鯖江市西山動物園,鯖江市西山動物園,モッチーとまつばの娘、ニーコとふたご,メス,2019/7/12 0:00,35.5724,136.10523
かえで,鯖江市西山動物園,鯖江市西山動物園,ライトとかのこの娘,メス,2022/6/27 0:00,35.5724,136.10523
,,,,,,,
